"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
13,"ME",1884478.00
13,"MI",12038927.00
13,"MN",7506096.00
13,"MO",6633465.00
13,"MS",3222820.00
13,"MT",1458883.00
13,"NC",12741996.00
13,"ND",1106960.00
13,"NE",2538380.00
13,"NH",236185.00
13,"NJ",11583007.00
13,"NM",3547090.00
13,"NV",3488187.00
13,"NY",24142346.00
13,"OH",13962160.00
13,"OK",5179938.00
13,"OR",4976028.00
13,"PA",15166950.00
13,"RI",1569755.00
13,"SC",5521052.00
13,"SD",1408144.00
13,"TN",6806693.00
13,"TX",0.00
13,"UT",2619411.00
13,"VA",10306894.00
13,"VT",809951.00
13,"WA",9685189.00
13,"WI",7769794.00
13,"WV",2426448.00
13,"WY",739059.00
14,"AK",1341087.00
14,"AL",5340830.00
14,"AR",3522267.00
14,"AZ",10054026.00
14,"CA",53440914.00
14,"CO",8135669.00
14,"CT",6067736.00
14,"DC",840078.00
14,"DE",1295517.00
14,"FL",28143194.00
14,"GA",10452181.00
14,"HI",0.00
14,"IA",4910625.00
14,"ID",2355321.00
14,"IL",16912221.00
14,"IN",9078017.00
14,"KS",4091861.00
14,"KY",6586765.00
14,"LA",6169138.00
14,"MA",10806356.00
14,"MD",8846773.00
14,"ME",2289218.00
14,"MI",14009308.00
14,"MN",8814420.00
14,"MO",7841656.00
14,"MS",3728292.00
14,"MT",1666946.00
14,"NC",14478458.00
14,"ND",1275135.00
14,"NE",2920977.00
14,"NH",493280.00
14,"NJ",13867950.00
14,"NM",4011485.00
14,"NV",4013974.00
14,"NY",30046725.00
14,"OH",16164028.00
14,"OK",6028597.00
14,"OR",5792398.00
14,"PA",17455781.00
14,"RI",1871081.00
14,"SC",6398704.00
14,"SD",1588921.00
14,"TN",7894785.00
14,"TX",0.00
14,"UT",3219269.00
14,"VA",12136127.00
14,"VT",981637.00
14,"WA",11320638.00
14,"WI",9058589.00
14,"WV",2762088.00
14,"WY",820692.00
15,"AK",1557077.00
15,"AL",6217065.00
15,"AR",4196655.00
15,"AZ",11740774.00
15,"CA",63945440.00
15,"CO",9564627.00
15,"CT",7312821.00
15,"DC",1069313.00
15,"DE",1573094.00
15,"FL",33693944.00
15,"GA",12457955.00
15,"HI",0.00
15,"IA",5798408.00
15,"ID",2719859.00
15,"IL",20558403.00
15,"IN",10327470.00
